hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result
"[2s,8s,5c,2d,3h]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,300.0,500.0,300.0,200.0,0.0,200.0
"[9s,4h,7d,4d,6c]",3,,,CNN_4,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,200.0,0.0,200.0,-200.0,-50,-150.0
"[9s,4h,7d,4d,6c]",3,,,CNN_4,0.431024,1,0,0,call_small,150.0,50.0,3.0,50.0,,,200.0,0.0,150.0,-150.0,-50.0,-100.0
"[2s,8s,5c,2d,3h]",3,,,man,0.3,0,0,0,raise_small,200.0,100.0,2.0,100.0,0,0,300.0,500.0,200.0,300.0,200.0,100.0
"[9s,4h,7d,4d,6c]",3,,,CNN_4,0.431024,1,0,0,call_small,300.0,100.0,3.0,100.0,01,01,200.0,0.0,100.0,-100.0,-100.0,0.0
"[2s,8s,5c,2d,3h]",3,"[8s,5c,2d,3h]","[8s,5c,2d,3h,7c]",man,0.3,0,0,0,draw,400.0,0,0.0,200.0,,010,300.0,500.0,100.0,400.0,400.0,0.0
"[9s,4h,7d,4d,6c]",3,"[9s,4h,7d,6c]","[9s,4h,7d,6c,Kd]",CNN_4,0.431024,1,0,0,draw,400.0,0,0.0,200.0,,010,200.0,0.0,0.0,0.0,0,0
"[8s,5c,2d,3h,7c]",2,,,man,0.3,0,4,4,bet_small,400.0,100.0,4.0,200.0,,010,300.0,500.0,100.0,400.0,400.0,0.0
"[9s,4h,7d,6c,Kd]",2,,,CNN_4,0.359786,1,4,4,FOLD,500.0,0,0.0,200.0,1,0101,200.0,0.0,0.0,0.0,0,0
hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result
"[Qs,8c,3c,Jh,3d]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,600.0,1200.0,600.0,600.0,0.0,600.0
"[9s,Jc,9c,4h,5s]",3,,,CNN_4,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,600.0,0.0,600.0,-600.0,-50,-550.0
"[9s,Jc,9c,4h,5s]",3,,,CNN_4,0.396621,1,0,0,call_small,150.0,50.0,3.0,50.0,,,600.0,0.0,550.0,-550.0,-50.0,-500.0
"[Qs,8c,3c,Jh,3d]",3,,,man,0.3,0,0,0,raise_small,200.0,100.0,2.0,100.0,0,0,600.0,1200.0,500.0,700.0,200.0,500.0
"[9s,Jc,9c,4h,5s]",3,,,CNN_4,0.396621,1,0,0,call_small,300.0,100.0,3.0,100.0,01,01,600.0,0.0,500.0,-500.0,-100.0,-400.0
"[Qs,8c,3c,Jh,3d]",3,"[8c,3c]","[8c,3c,7h,Js,2h]",man,0.3,0,0,0,draw,400.0,0,0.0,200.0,,010,600.0,1200.0,400.0,800.0,400.0,400.0
"[9s,Jc,9c,4h,5s]",3,"[9c,4h,5s]","[9c,4h,5s,6c,2d]",CNN_4,0.396621,1,0,0,draw,400.0,0,0.0,200.0,,010,600.0,0.0,400.0,-400.0,0,-400.0
"[8c,3c,7h,Js,2h]",2,,,man,0.3,0,2,3,check,400.0,0,0.0,200.0,,010,600.0,1200.0,400.0,800.0,400.0,400.0
"[9c,4h,5s,6c,2d]",2,,,CNN_4,0.63076,1,3,2,check,400.0,0,0.0,200.0,0,0100,600.0,0.0,400.0,-400.0,0,-400.0
"[8c,3c,7h,Js,2h]",2,"[8c,3c,7h,2h]","[8c,3c,7h,2h,5h]",man,0.3,0,0,0,draw,400.0,0,0.0,200.0,,01000,600.0,1200.0,400.0,800.0,400.0,400.0
"[9c,4h,5s,6c,2d]",2,"[9c,4h,5s,6c,2d]","[9c,4h,5s,6c,2d]",CNN_4,0.63076,1,0,0,draw,400.0,0,0.0,200.0,,01000,600.0,0.0,400.0,-400.0,0,-400.0
"[8c,3c,7h,2h,5h]",1,,,man,0.3,0,4,5,bet_big,400.0,200.0,2.0,200.0,,01000,600.0,1200.0,400.0,800.0,400.0,400.0
"[9c,4h,5s,6c,2d]",1,,,CNN_4,0.595622,1,5,4,call_big,600.0,200.0,3.0,200.0,1,010001,600.0,0.0,400.0,-400.0,-200.0,-200.0
"[8c,3c,7h,2h,5h]",1,"[8c,3c,7h,2h,5h]","[8c,3c,7h,2h,5h]",man,0.3,0,0,0,draw,800.0,0,0.0,400.0,,0100010,600.0,1200.0,200.0,1000.0,800.0,200.0
"[9c,4h,5s,6c,2d]",1,"[9c,4h,5s,6c,2d]","[9c,4h,5s,6c,2d]",CNN_4,0.595622,1,0,0,draw,800.0,0,0.0,400.0,,0100010,600.0,0.0,200.0,-200.0,0,-200.0
"[8c,3c,7h,2h,5h]",0,,,man,0.3,0,5,5,bet_big,800.0,200.0,4.0,400.0,,0100010,600.0,1200.0,200.0,1000.0,800.0,200.0
"[9c,4h,5s,6c,2d]",0,,,CNN_4,0.595622,1,5,5,call_big,1000.0,200.0,5.0,400.0,1,01000101,600.0,0.0,200.0,-200.0,-200.0,0.0
"[Qs,Ks,7c,Tc,Td]",3,,,CNN_4,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,100.0,0.0,100.0,-100.0,-100,0.0
"[Kh,4s,2h,Ah,Jd]",3,,,man,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,200.0,300.0,200.0,100.0,100.0,0.0
"[Kh,4s,2h,Ah,Jd]",3,,,man,0.3,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,200.0,300.0,150.0,150.0,150.0,0.0
"[Qs,Ks,7c,Tc,Td]",3,,,CNN_4,0.315408,0,0,0,FOLD,300.0,0,0.0,100.0,1,1,100.0,0.0,0.0,0.0,0,0
"[Ad,6s,Qh,Ks,Qs]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,700.0,1200.0,700.0,500.0,0.0,500.0
"[4s,9s,3h,5s,Th]",3,,,CNN_4,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,500.0,0.0,500.0,-500.0,-50,-450.0
"[4s,9s,3h,5s,Th]",3,,,CNN_4,0.477839,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,500.0,0.0,450.0,-450.0,-150.0,-300.0
"[Ad,6s,Qh,Ks,Qs]",3,,,man,0.3,0,0,0,call_small,300.0,100.0,3.0,100.0,1,1,700.0,1200.0,600.0,600.0,300.0,300.0
"[Ad,6s,Qh,Ks,Qs]",3,[6s],"[6s,3d,9h,9d,8c]",man,0.3,0,0,0,draw,400.0,0,0.0,200.0,,10,700.0,1200.0,500.0,700.0,400.0,300.0
"[4s,9s,3h,5s,Th]",3,"[4s,9s,3h,5s]","[4s,9s,3h,5s,5d]",CNN_4,0.477839,1,0,0,draw,400.0,0,0.0,200.0,,10,500.0,0.0,300.0,-300.0,0,-300.0
"[6s,3d,9h,9d,8c]",2,,,man,0.3,0,1,4,check,400.0,0,0.0,200.0,,10,700.0,1200.0,500.0,700.0,400.0,300.0
"[4s,9s,3h,5s,5d]",2,,,CNN_4,0.394497,1,4,1,bet_small,400.0,100.0,4.0,200.0,0,100,500.0,0.0,300.0,-300.0,-100.0,-200.0
"[6s,3d,9h,9d,8c]",2,,,man,0.3,0,1,4,call_small,500.0,100.0,5.0,200.0,01,1001,700.0,1200.0,500.0,700.0,500.0,200.0
"[6s,3d,9h,9d,8c]",2,"[6s,3d,9d,8c]","[6s,3d,9d,8c,Kh]",man,0.3,0,0,0,draw,600.0,0,0.0,300.0,,10010,700.0,1200.0,400.0,800.0,600.0,200.0
"[4s,9s,3h,5s,5d]",2,"[4s,9s,3h,5d]","[4s,9s,3h,5d,2d]",CNN_4,0.394497,1,0,0,draw,600.0,0,0.0,300.0,,10010,500.0,0.0,200.0,-200.0,0,-200.0
"[6s,3d,9d,8c,Kh]",1,,,man,0.3,0,4,4,check,600.0,0,0.0,300.0,,10010,700.0,1200.0,400.0,800.0,600.0,200.0
"[4s,9s,3h,5d,2d]",1,,,CNN_4,0.661612,1,4,4,check,600.0,0,0.0,300.0,0,100100,500.0,0.0,200.0,-200.0,0,-200.0
"[6s,3d,9d,8c,Kh]",1,"[6s,3d,9d,8c,Kh]","[6s,3d,9d,8c,Kh]",man,0.3,0,0,0,draw,600.0,0,0.0,300.0,,1001000,700.0,1200.0,400.0,800.0,600.0,200.0
"[4s,9s,3h,5d,2d]",1,"[4s,9s,3h,5d,2d]","[4s,9s,3h,5d,2d]",CNN_4,0.661612,1,0,0,draw,600.0,0,0.0,300.0,,1001000,500.0,0.0,200.0,-200.0,0,-200.0
"[6s,3d,9d,8c,Kh]",0,,,man,0.3,0,5,5,check,600.0,0,0.0,300.0,,1001000,700.0,1200.0,400.0,800.0,600.0,200.0
"[4s,9s,3h,5d,2d]",0,,,CNN_4,0.661612,1,5,5,bet_big,600.0,200.0,3.0,300.0,0,10010000,500.0,0.0,200.0,-200.0,-200.0,0.0
"[6s,3d,9d,8c,Kh]",0,,,man,0.3,0,5,5,raise_big,800.0,400.0,2.0,300.0,01,100100001,700.0,1200.0,400.0,800.0,800.0,0.0
"[4s,9s,3h,5d,2d]",0,,,CNN_4,0.661612,1,5,5,FOLD,1200.0,0,0.0,500.0,011,1001000011,500.0,0.0,0.0,0.0,0,0
"[9d,7s,Ad,3s,Td]",3,,,CNN_4,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,100.0,150.0,100.0,50.0,0.0,50.0
"[Th,As,Ah,Jd,Js]",3,,,man,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,50.0,0.0,50.0,-50.0,-50,0.0
"[Th,As,Ah,Jd,Js]",3,,,man,0.3,1,0,0,FOLD,150.0,0,0.0,50.0,,,50.0,0.0,0.0,0.0,0,0
"[Th,6h,Ad,4d,Kh]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,800.0,1600.0,800.0,800.0,0.0,800.0
"[8c,Js,Qc,5h,5s]",3,,,CNN_4,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,800.0,0.0,800.0,-800.0,-50,-750.0
"[8c,Js,Qc,5h,5s]",3,,,CNN_4,0.360979,1,0,0,call_small,150.0,50.0,3.0,50.0,,,800.0,0.0,750.0,-750.0,-50.0,-700.0
"[Th,6h,Ad,4d,Kh]",3,,,man,0.3,0,0,0,raise_small,200.0,100.0,2.0,100.0,0,0,800.0,1600.0,700.0,900.0,200.0,700.0
"[8c,Js,Qc,5h,5s]",3,,,CNN_4,0.360979,1,0,0,call_small,300.0,100.0,3.0,100.0,01,01,800.0,0.0,700.0,-700.0,-100.0,-600.0
"[Th,6h,Ad,4d,Kh]",3,"[6h,4d]","[6h,4d,4s,Qh,2h]",man,0.3,0,0,0,draw,400.0,0,0.0,200.0,,010,800.0,1600.0,600.0,1000.0,400.0,600.0
"[8c,Js,Qc,5h,5s]",3,"[8c,5h]","[8c,5h,2d,5c,3s]",CNN_4,0.360979,1,0,0,draw,400.0,0,0.0,200.0,,010,800.0,0.0,600.0,-600.0,0,-600.0
"[6h,4d,4s,Qh,2h]",2,,,man,0.3,0,2,2,check,400.0,0,0.0,200.0,,010,800.0,1600.0,600.0,1000.0,400.0,600.0
"[8c,5h,2d,5c,3s]",2,,,CNN_4,0.526459,1,2,2,bet_small,400.0,100.0,4.0,200.0,0,0100,800.0,0.0,600.0,-600.0,-100.0,-500.0
"[6h,4d,4s,Qh,2h]",2,,,man,0.3,0,2,2,raise_small,500.0,200.0,2.5,200.0,01,01001,800.0,1600.0,600.0,1000.0,500.0,500.0
"[8c,5h,2d,5c,3s]",2,,,CNN_4,0.526459,1,2,2,call_small,700.0,100.0,7.0,300.0,011,010011,800.0,0.0,500.0,-500.0,-100.0,-400.0
"[6h,4d,4s,Qh,2h]",2,"[6h,4d,2h]","[6h,4d,2h,5d,Kd]",man,0.3,0,0,0,draw,800.0,0,0.0,400.0,,0100110,800.0,1600.0,400.0,1200.0,800.0,400.0
"[8c,5h,2d,5c,3s]",2,"[8c,5h,2d,3s]","[8c,5h,2d,3s,Ac]",CNN_4,0.526459,1,0,0,draw,800.0,0,0.0,400.0,,0100110,800.0,0.0,400.0,-400.0,0,-400.0
"[6h,4d,2h,5d,Kd]",1,,,man,0.3,0,3,4,bet_big,800.0,200.0,4.0,400.0,,0100110,800.0,1600.0,400.0,1200.0,800.0,400.0
"[8c,5h,2d,3s,Ac]",1,,,CNN_4,0.313068,1,4,3,call_big,1000.0,200.0,5.0,400.0,1,01001101,800.0,0.0,400.0,-400.0,-200.0,-200.0
"[6h,4d,2h,5d,Kd]",1,"[6h,4d,2h,5d]","[6h,4d,2h,5d,7s]",man,0.3,0,0,0,draw,1200.0,0,0.0,600.0,,010011010,800.0,1600.0,200.0,1400.0,1200.0,200.0
"[8c,5h,2d,3s,Ac]",1,"[8c,5h,2d,3s]","[8c,5h,2d,3s,Tc]",CNN_4,0.313068,1,0,0,draw,1200.0,0,0.0,600.0,,010011010,800.0,0.0,200.0,-200.0,0,-200.0
"[6h,4d,2h,5d,7s]",0,,,man,0.3,0,4,4,bet_big,1200.0,200.0,6.0,600.0,,010011010,800.0,1600.0,200.0,1400.0,1200.0,200.0
"[8c,5h,2d,3s,Tc]",0,,,CNN_4,0.319054,1,4,4,call_big,1400.0,200.0,7.0,600.0,1,0100110101,800.0,0.0,200.0,-200.0,-200.0,0.0
